entry_time,exit_time,direction,entry,exit,qty_pct,pnl,reason,cum_equity
2024-05-22 11:30:00-04:00,2024-05-22 11:45:00-04:00,Short,19094.66126794482,19194.66126794482,1.0,-201.24,SL,-201.24
2024-05-22 13:00:00-04:00,2024-05-22 15:45:00-04:00,Short,19056.81427772262,19156.81427772262,1.0,-201.24,SL,-402.48
2024-05-22 15:45:00-04:00,2024-05-23 10:30:00-04:00,Long,19173.327664132026,19273.327664132026,0.5,99.38,TP1,-303.1
2024-05-22 15:45:00-04:00,2024-05-23 14:00:00-04:00,Long,19173.327664132026,19073.327664132026,0.5,-100.62,SL,-403.72
2024-05-23 14:00:00-04:00,2024-05-23 14:15:00-04:00,Short,19056.40745439805,19156.40745439805,1.0,-201.24,SL,-604.96
2024-05-23 15:45:00-04:00,2024-05-24 12:15:00-04:00,Short,19185.23324775343,19285.23324775343,1.0,-201.24,SL,-806.2
2024-05-24 12:30:00-04:00,2024-05-24 13:30:00-04:00,Long,19299.02014794099,19399.02014794099,0.5,99.38,TP1,-706.82
2024-05-24 12:30:00-04:00,2024-05-24 14:45:00-04:00,Long,19299.02014794099,19499.02014794099,0.5,199.38,TP2,-507.44
2024-05-24 15:00:00-04:00,2024-05-27 12:00:00-04:00,Long,19487.530560847885,19587.530560847885,0.5,99.38,TP1,-408.06
2024-05-24 15:00:00-04:00,2024-05-27 12:30:00-04:00,Long,19487.530560847885,19687.530560847885,0.5,199.38,TP2,-208.68
2024-05-27 12:45:00-04:00,2024-05-27 14:45:00-04:00,Long,19638.40692132018,19538.40692132018,1.0,-201.24,SL,-409.92
2024-05-27 15:00:00-04:00,2024-05-28 13:00:00-04:00,Short,19386.58372206739,19286.58372206739,0.5,99.38,TP1,-310.54
2024-05-27 15:00:00-04:00,2024-05-28 13:30:00-04:00,Short,19386.58372206739,19186.58372206739,0.5,199.38,TP2,-111.16
2024-05-28 13:30:00-04:00,2024-05-29 09:45:00-04:00,Short,19216.041345842677,19316.041345842677,1.0,-201.24,SL,-312.4
2024-05-29 10:30:00-04:00,2024-05-29 13:30:00-04:00,Short,19243.246547242692,19143.246547242692,0.5,99.38,TP1,-213.02
2024-05-29 10:30:00-04:00,2024-05-30 10:15:00-04:00,Short,19243.246547242692,19043.246547242692,0.5,199.38,TP2,-13.64
2024-05-30 10:15:00-04:00,2024-05-30 10:45:00-04:00,Short,19041.70823022679,19141.70823022679,1.0,-201.24,SL,-214.88
2024-05-30 11:00:00-04:00,2024-05-30 13:15:00-04:00,Long,19246.998059335958,19346.998059335958,0.5,99.38,TP1,-115.5
2024-05-30 11:00:00-04:00,2024-05-31 10:30:00-04:00,Long,19246.998059335958,19446.998059335958,0.5,199.38,TP2,83.88
2024-05-31 10:30:00-04:00,2024-05-31 11:45:00-04:00,Long,19438.594080719413,19538.594080719413,0.5,99.38,TP1,183.26
2024-05-31 10:30:00-04:00,2024-05-31 12:45:00-04:00,Long,19438.594080719413,19638.594080719413,0.5,199.38,TP2,382.64
2024-05-31 14:00:00-04:00,2024-05-31 15:15:00-04:00,Long,19578.78242969753,19478.78242969753,1.0,-201.24,SL,181.4
2024-05-31 15:15:00-04:00,2024-06-03 12:00:00-04:00,Short,19340.39173766561,19440.39173766561,1.0,-201.24,SL,-19.84
2024-06-03 12:00:00-04:00,2024-06-03 15:30:00-04:00,Long,19433.604266738377,19533.604266738377,0.5,99.38,TP1,79.54
2024-06-03 12:00:00-04:00,2024-06-04 14:45:00-04:00,Long,19433.604266738377,19333.604266738377,0.5,-100.62,SL,-21.08
2024-06-04 14:45:00-04:00,2024-06-05 09:30:00-04:00,Short,19327.911614707595,19227.911614707595,0.5,99.38,TP1,78.3
2024-06-04 14:45:00-04:00,2024-06-06 10:00:00-04:00,Short,19327.911614707595,19127.911614707595,0.5,199.38,TP2,277.68
2024-06-06 10:00:00-04:00,2024-06-06 11:30:00-04:00,Short,19118.246301050258,19218.246301050258,1.0,-201.24,SL,76.44
2024-06-06 11:30:00-04:00,2024-06-06 13:00:00-04:00,Long,19220.64797384821,19320.64797384821,0.5,99.38,TP1,175.82
2024-06-06 11:30:00-04:00,2024-06-07 10:30:00-04:00,Long,19220.64797384821,19420.64797384821,0.5,199.38,TP2,375.2
2024-06-07 10:30:00-04:00,2024-06-07 11:30:00-04:00,Long,19448.03719357508,19348.03719357508,1.0,-201.24,SL,173.96
2024-06-07 12:45:00-04:00,2024-06-10 11:45:00-04:00,Short,19307.609879560332,19407.609879560332,1.0,-201.24,SL,-27.28
2024-06-10 11:45:00-04:00,2024-06-10 12:15:00-04:00,Long,19511.702474261645,19411.702474261645,1.0,-201.24,SL,-228.52
2024-06-10 13:15:00-04:00,2024-06-10 14:30:00-04:00,Short,19332.997111087738,19432.997111087738,1.0,-201.24,SL,-429.76
2024-06-10 14:30:00-04:00,2024-06-10 14:45:00-04:00,Long,19436.951238931153,19536.951238931153,0.5,99.38,TP1,-330.38
2024-06-10 14:30:00-04:00,2024-06-10 15:15:00-04:00,Long,19436.951238931153,19336.951238931153,0.5,-100.62,SL,-431.0
2024-06-10 15:15:00-04:00,2024-06-11 10:00:00-04:00,Short,19324.632228133334,19224.632228133334,0.5,99.38,TP1,-331.62
2024-06-10 15:15:00-04:00,2024-06-11 10:15:00-04:00,Short,19324.632228133334,19124.632228133334,0.5,199.38,TP2,-132.24
2024-06-11 10:45:00-04:00,2024-06-11 14:45:00-04:00,Short,19080.37341442907,19180.37341442907,1.0,-201.24,SL,-333.48
2024-06-11 14:45:00-04:00,2024-06-11 15:30:00-04:00,Long,19208.08825976586,19308.08825976586,0.5,99.38,TP1,-234.1
2024-06-11 14:45:00-04:00,2024-06-11 15:45:00-04:00,Long,19208.08825976586,19408.08825976586,0.5,199.38,TP2,-34.72
2024-06-11 15:45:00-04:00,2024-06-12 10:45:00-04:00,Long,19410.16678137207,19310.16678137207,1.0,-201.24,SL,-235.96
2024-06-12 11:00:00-04:00,2024-06-12 11:15:00-04:00,Short,19239.6187192859,19339.6187192859,1.0,-201.24,SL,-437.2
2024-06-12 11:30:00-04:00,2024-06-12 12:45:00-04:00,Long,19392.959206882104,19492.959206882104,0.5,99.38,TP1,-337.82
2024-06-12 11:30:00-04:00,2024-06-14 10:30:00-04:00,Long,19392.959206882104,19592.959206882104,0.5,199.38,TP2,-138.44
